rep0=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
rep1=0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,14
rep2=0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,13
rep3=0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,12
rep4=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14
rep5=0,1,2,3,4,5,6,7,8,9,10,12,13,11,15,14
rep6=0,1,2,3,4,5,6,7,8,9,10,12,11,13,15,14
rep7=0,1,2,3,4,5,6,7,8,9,10,12,11,14,15,13
rep8=0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,11
rep9=0,1,2,3,4,5,6,7,8,9,10,12,13,14,11,15
rep10=0,1,2,3,4,5,6,7,8,9,11,12,10,14,15,13
rep11=0,1,2,3,4,5,6,7,8,9,11,12,14,15,13,10
rep12=0,1,2,3,4,5,6,7,8,9,12,13,14,15,10,11
rep13=0,1,2,3,4,5,6,7,8,9,12,13,14,15,11,10
rep14=0,1,2,3,4,5,6,8,7,9,12,13,14,15,11,10
rep15=0,1,2,3,4,5,6,8,7,10,9,12,11,14,15,13
rep16=0,1,2,3,4,5,6,8,7,10,9,12,13,15,11,14
rep17=0,1,2,3,4,5,6,8,7,9,12,13,14,15,10,11
rep18=0,1,2,3,4,5,6,8,7,9,10,12,13,11,15,14
rep19=0,1,2,3,4,5,6,8,7,9,10,12,13,15,11,14
rep20=0,1,2,3,4,5,6,8,7,9,10,12,13,14,11,15
rep21=0,1,2,3,4,5,6,8,7,9,10,12,11,13,15,14
rep22=0,1,2,3,4,5,6,8,7,9,10,12,15,14,13,11
rep23=0,1,2,3,4,5,6,8,7,9,11,12,14,15,10,13
rep24=0,1,2,3,4,5,6,8,7,10,9,12,15,11,13,14
rep25=0,1,2,3,4,5,6,8,7,9,10,11,12,14,15,13
rep26=0,1,2,3,4,5,6,8,7,9,11,12,13,14,15,10
rep27=0,1,2,3,4,5,6,8,7,10,11,12,13,14,15,9
rep28=0,1,2,3,4,5,6,8,7,9,11,12,14,10,15,13
rep29=0,1,2,3,4,5,6,8,7,10,11,12,14,15,13,9
rep30=0,1,2,3,4,5,6,8,7,10,11,12,14,9,15,13
rep31=0,1,2,3,4,5,6,8,7,9,10,12,11,14,15,13
rep32=0,1,2,3,4,5,6,8,7,9,10,12,15,11,13,14
rep33=0,1,2,3,4,5,6,8,7,9,11,12,14,15,13,10
rep34=0,1,2,3,4,5,6,8,7,9,11,12,15,14,10,13
rep35=0,1,2,3,4,5,6,8,7,9,12,14,10,15,13,11
rep36=0,1,2,3,4,5,6,8,7,9,12,14,10,15,11,13
rep37=0,1,2,3,4,5,6,8,7,9,10,12,13,14,15,11
rep38=0,1,2,3,4,5,6,8,7,9,10,11,13,14,15,12
